Geo Point;Geo Shape;id_fontaines_a_boire;localisation;type;adresse;commune;quartier;territoire;statut
43.639581045742354, 1.4532697326222643;"{""coordinates"": [[1.453269732622264, 43.639581045742354]], ""type"": ""MultiPoint""}";223;SQUARE BERTRAN;SANTA-COLE;RUE BERTRAN;Toulouse;9;NORD;Ouverte
43.60757175204291, 1.4412424300696027;"{""coordinates"": [[1.441242430069603, 43.60757175204291]], ""type"": ""MultiPoint""}";380;MUSEE SAINT RAYMOND;SANTA-COLE;8 RUE DES TROIS RENARDS;Toulouse;1;CENTRE;Ouverte
43.59123736446739, 1.43983462610895;"{""coordinates"": [[1.43983462610895, 43.59123736446739]], ""type"": ""MultiPoint""}";252;THEATRE DE VERDURE DU RAMIER;SANTA-COLE;AVENUE DU GRAND RAMIER;Toulouse;5;CENTRE;Ouverte
43.57182745915437, 1.412689956354118;"{""coordinates"": [[1.412689956354118, 43.57182745915437]], ""type"": ""MultiPoint""}";451;Papus (city stade);AUTRE;100 RUE PIERRE PAUL RIQUET;Toulouse;16;SUD;Ouverte
43.6539075252995, 1.4381570832548065;"{""coordinates"": [[1.438157083254807, 43.6539075252995]], ""type"": ""MultiPoint""}";231;PARC DE LA VIOLETTE;BAYARD;ROUTE DE LAUNAGUET;Toulouse;7;NORD;Ouverte
43.57947383128049, 1.4415555620709652;"{""coordinates"": [[1.441555562070965, 43.57947383128049]], ""type"": ""MultiPoint""}";521;FONTAINE A BOIRE PLACE ALINE VIADIEU;SANTA-COLE;AV JEAN MOULIN;Toulouse;5;CENTRE;Ouverte
43.59561888543659, 1.4414842741119043;"{""coordinates"": [[1.441484274111904, 43.59561888543659]], ""type"": ""MultiPoint""}";45;LA GARONNETTE;BAYARD;AV DE LA GARONNETTE;Toulouse;1;CENTRE;Ouverte
43.64662928281042, 1.4309116496315963;"{""coordinates"": [[1.430911649631596, 43.64662928281042]], ""type"": ""MultiPoint""}";382;18 CHE DE L EGLISE DE LALANDE;BAYARD;CHE DE L EGLISE DE LALANDE;Toulouse;7;NORD;Ouverte
43.57559280349388, 1.4324217602929294;"{""coordinates"": [[1.432421760292929, 43.57559280349388]], ""type"": ""MultiPoint""}";63;ILE DU RAMIER;PRESTO;CHEMIN DE LA LOGE;Toulouse;5;CENTRE;Ouverte
43.60119216012732, 1.4312509107961917;"{""coordinates"": [[1.431250910796192, 43.60119216012732]], ""type"": ""MultiPoint""}";445;JARDIN RAYMOND VI;WATER CONNECT BRUMIS;ALLEE CHARLES DE FITTE;Toulouse;6;CENTRE;Ouverte
